model,decile,loans,defaults,default_rate,lift,cumulative_gain,cumulative_population,min_score,max_score,avg_score
MLP Neural Network,10,9811,367,0.0374069921516665,0.17187559849304726,1.0,1.0,0.006589784627938203,0.06685624824448468,0.04347409454597731
Modified FT-Transformer-style,1,9811,4575,0.4663133217816736,2.142590907644935,0.2142656425627576,0.10000305788577778,0.4313788038941768,0.7243574468641562,0.5092550717070917
Modified FT-Transformer-style,2,9811,3561,0.36295994292121087,1.6677084638521558,0.3810415886099663,0.20000611577155555,0.35411060746816553,0.4313757859955105,0.39002195693051545
Modified FT-Transformer-style,3,9810,2905,0.2961264016309888,1.3606253692774175,0.5170944173847883,0.29999898070474074,0.29840712269604897,0.3540946090341304,0.3248692573035524
Modified FT-Transformer-style,4,9811,2519,0.2567526246050352,1.1797128953787086,0.6350693143499438,0.4000020385905185,0.25354604526043806,0.2984060198883813,0.27553932503436745
Modified FT-Transformer-style,5,9811,2194,0.22362654163693813,1.027506983906664,0.7378231547396028,0.5000050964762963,0.21513101005916896,0.25354191672136056,0.23390699583553498
Modified FT-Transformer-style,6,9810,1813,0.18481141692150865,0.8491613750430146,0.8227332334207569,0.5999979614094815,0.17929209253000225,0.21511483719572957,0.19687206340795851
Modified FT-Transformer-style,7,9811,1412,0.14392008969524003,0.661276144610852,0.8888628699887599,0.7000010192952593,0.1451277156905696,0.1792905681422129,0.1623051800107659
Modified FT-Transformer-style,8,9810,1165,0.11875637104994903,0.5456552685742483,0.9434245035593856,0.7999938842284444,0.10801820451665718,0.14512436186496347,0.127084491514086
Modified FT-Transformer-style,9,9811,824,0.08398736112526756,0.38590052631681454,0.9820157362307981,0.8999969421142222,0.06004479978098249,0.10801754087830145,0.08485086172711176
Modified FT-Transformer-style,10,9811,384,0.039139741106920804,0.1798371384777388,1.0,1.0,0.02435356961399048,0.06003833136195551,0.03910792493011561
