model,bin,observations,defaults,mean_predicted_probability,observed_default_rate,minimum_predicted_probability,maximum_predicted_probability,observed_rate_ci_lower,observed_rate_ci_upper
CatBoost,12,6540,1993,0.33136011521467945,0.3047400611620795,0.3131561026396005,0.3510962941312309,0.29370145089588817,0.3160079283775954
CatBoost,13,6541,2267,0.3752826600326528,0.34658309127044795,0.3510981414687786,0.40325492701723076,0.3351434255840209,0.3582028579990685
CatBoost,14,6540,2572,0.439272833641002,0.39327217125382263,0.4032569822067948,0.48120790848128236,0.38149925222050696,0.4051704006635114
CatBoost,15,6541,3137,0.5569752293256206,0.47959027671609844,0.48121498702194604,0.7851428760677622,0.4674986554924344,0.4917058575701888
Explainable Boosting Machine,1,6541,197,0.04026368892527186,0.03011771900321052,0.005911857492780295,0.05835831702913754,0.02624361741813039,0.03454343050675752
Explainable Boosting Machine,2,6540,422,0.07276827969275847,0.06452599388379204,0.0583612099900798,0.08605580748214631,0.058823332485764296,0.07073995034186403
Explainable Boosting Machine,3,6541,616,0.09884972520523357,0.09417520256841462,0.08605680601727787,0.11112527883390039,0.08733325208256139,0.10149356383304457
Explainable Boosting Machine,4,6540,701,0.12243412549749261,0.10718654434250764,0.11113539217953448,0.13340749713960132,0.09991828115495187,0.11491601434511033
Explainable Boosting Machine,5,6540,850,0.1445302153056462,0.12996941896024464,0.133408304985888,0.15514514261547616,0.12203619291354562,0.13833710218577333
Explainable Boosting Machine,6,6541,1003,0.16559734998931455,0.1533404678183764,0.15514733572117756,0.17628288201951736,0.14481207558739842,0.16227581482082784
Explainable Boosting Machine,7,6540,1169,0.18684709445507092,0.17874617737003057,0.17628418251801,0.19775955697179276,0.16964967589861543,0.1882198666648842
Explainable Boosting Machine,8,6541,1362,0.2089645376438849,0.20822504204250114,0.1977660130246533,0.22052283816593285,0.19855755989755863,0.21823504819245226
Explainable Boosting Machine,9,6540,1470,0.23241434467510155,0.22477064220183487,0.22053496912414317,0.24483248802151558,0.2148168886638121,0.23504754570758218
Explainable Boosting Machine,10,6540,1652,0.2582573457930623,0.25259938837920487,0.24484060841043953,0.27231430408867197,0.24221594749436284,0.26327330517947933
Explainable Boosting Machine,11,6541,1775,0.28800246276960534,0.2713652346735973,0.27231611993762167,0.30467300916447826,0.26072555279741166,0.282273318252424
Explainable Boosting Machine,12,6540,2033,0.323592063536952,0.31085626911314984,0.3046732610623512,0.34463431958351953,0.29975239968850903,0.3221822143767213
Explainable Boosting Machine,13,6541,2262,0.36992534057792875,0.3458186821586913,0.3446397326637565,0.3978175276440179,0.33438544833051714,0.3574329143934944
