model,bin,observations,defaults,mean_predicted_probability,observed_default_rate,minimum_predicted_probability,maximum_predicted_probability,observed_rate_ci_lower,observed_rate_ci_upper
Explainable Boosting Machine,2,6540,422,0.049216697237841195,0.06452599388379204,0.03879682495367087,0.05895051618429773,0.058823332485764296,0.07073995034186403
Explainable Boosting Machine,3,6541,616,0.06853317525967567,0.09417520256841462,0.05895125645655409,0.07781959570575295,0.08733325208256139,0.10149356383304457
Explainable Boosting Machine,4,6540,701,0.08652594553918612,0.10718654434250764,0.0778273185338686,0.0950408975716731,0.09991828115495187,0.11491601434511033
Explainable Boosting Machine,5,6540,850,0.10380272558856966,0.12996941896024464,0.09504152925711655,0.11222417205007898,0.12203619291354562,0.13833710218577333
Explainable Boosting Machine,6,6541,1003,0.1206302397371772,0.1533404678183764,0.11222592414284456,0.12928013685334794,0.14481207558739842,0.16227581482082784
Explainable Boosting Machine,7,6540,1169,0.13794297759474017,0.17874617737003057,0.12928119649682776,0.14694834724471081,0.16964967589861543,0.1882198666648842
Explainable Boosting Machine,8,6541,1362,0.15631410866570444,0.20822504204250114,0.14695370883884254,0.16603789899943408,0.19855755989755863,0.21823504819245226
Explainable Boosting Machine,9,6540,1470,0.17617275028708768,0.22477064220183487,0.16604817020719032,0.18682746098368683,0.2148168886638121,0.23504754570758218
Explainable Boosting Machine,10,6540,1652,0.19850559404349824,0.25259938837920487,0.186834474195447,0.2108216241576748,0.24221594749436284,0.26327330517947933
Explainable Boosting Machine,11,6541,1775,0.22477898733716142,0.2713652346735973,0.2108232266047713,0.23973096060122262,0.26072555279741166,0.282273318252424
Explainable Boosting Machine,12,6540,2033,0.2570018577113728,0.31085626911314984,0.23973118838381977,0.27639667505260157,0.29975239968850903,0.3221822143767213
Explainable Boosting Machine,13,6541,2262,0.3002228433550126,0.3458186821586913,0.2764017131212679,0.3268174268215903,0.33438544833051714,0.3574329143934944
Explainable Boosting Machine,14,6540,2651,0.36438391812245263,0.40535168195718657,0.32681833411346056,0.4090289035873034,0.3935115319969426,0.41730295960077574
Explainable Boosting Machine,15,6541,3189,0.5002705287973722,0.4875401314783672,0.40905669931694044,0.8050393905619826,0.4754375132359535,0.4996573767610787
Random Forest,1,6541,200,0.1306166015741741,0.030576364470264485,0.05591358142201451,0.16829462766099304,0.02667165551231573,0.035032144928018843
Random Forest,2,6540,459,0.1995179610979392,0.07018348623853211,0.1683118531954641,0.23231482825187114,0.06424116836370417,0.07663045664628995
Random Forest,3,6541,581,0.26428016379368907,0.08882433878611833,0.23233972732632321,0.29060424009818736,0.08216901196053376,0.0959623579415277
Random Forest,4,6540,769,0.3094550901751185,0.11758409785932722,0.2906054791298823,0.3262785336745542,0.11000076928011453,0.12561642536591724
Random Forest,5,6540,893,0.34154630731829033,0.13654434250764527,0.3262846682013416,0.35680087273704847,0.12843548839372834,0.14507993410671846
Random Forest,6,6541,1082,0.3726382588768393,0.16541813178413087,0.35680231290955366,0.3887200701110456,0.1566105122975053,0.1746185276841499
Random Forest,7,6540,1181,0.4056624846541787,0.18058103975535167,0.38872108347495354,0.42239634727869224,0.17144639460333863,0.19009071839768502
Random Forest,8,6541,1256,0.4392248239847371,0.19201956887326097,0.4224111467474862,0.4557580126507407,0.1826557463557289,0.20174493952183303
Random Forest,9,6540,1531,0.47079057506727745,0.23409785932721713,0.4557704040881835,0.4855111628939389,0.22399329842946739,0.24451461899934077
Random Forest,10,6540,1606,0.49970078884562613,0.245565749235474,0.4855112698240582,0.5137048435564165,0.23528524821190205,0.2561449844514313
Random Forest,11,6541,1816,0.5281420696242795,0.27763338939000154,0.5137067616728926,0.543115606194653,0.2669133397856566,0.2886144823086168
Random Forest,12,6540,2079,0.5592614401606548,0.31788990825688074,0.5431185026924698,0.5760218653723732,0.3067138118863888,0.32927982218935037
Random Forest,13,6541,2280,0.5953444971274926,0.34857055496101513,0.5760259722174516,0.6162785282542718,0.3371143199031224,0.36020455791356915
Random Forest,14,6540,2480,0.6427763834383081,0.37920489296636084,0.6162803085722676,0.6735904122377983,0.3675198303859821,0.39103178247701864
Random Forest,15,6541,3139,0.7210836665653346,0.4798960403608011,0.6735914405200922,0.8407348859254814,0.4678039394746778,0.4920117419315765
Linear SVM,1,6541,223,0.30303139549738795,0.0340926463843449,0.1961918970167516,0.33320658671470327,0.029961146225714993,0.038771090166377364
Linear SVM,2,6540,441,0.3514825051644918,0.06743119266055046,0.333207677409568,0.36773517388503313,0.06160393125181135,0.07376633810189673
Linear SVM,3,6541,623,0.38186912099729436,0.09524537532487387,0.3677370863768182,0.39490877814884184,0.08836695101655749,0.10259895410175736
Linear SVM,4,6540,731,0.40657104348245376,0.1117737003058104,0.394913732715596,0.41759805840522973,0.10436387289650745,0.11963934869736484
Linear SVM,5,6540,887,0.4275714388102616,0.13562691131498472,0.4175981201820614,0.43700996724921454,0.12754216652113917,0.1441394707605456
Linear SVM,6,6541,1000,0.4459088499824317,0.15288182235132242,0.4370121982619786,0.4545326820730365,0.1443643944154605,0.16180674347731905
Linear SVM,7,6540,1158,0.46316696184746015,0.17706422018348625,0.45453568015083545,0.4715300100396842,0.16800300179484312,0.18650460120092616
Linear SVM,8,6541,1294,0.47974085117820353,0.19782907812261122,0.4715301472266473,0.48811717913225333,0.18835353023017934,0.20765935417637374
Linear SVM,9,6540,1506,0.4963722916707003,0.23027522935779818,0.48811752431630234,0.5045471222991501,0.22023161928497248,0.24063552639899394
Linear SVM,10,6540,1663,0.5129208672582185,0.2542813455657492,0.5045471528736144,0.5212009590839665,0.24387383325326273,0.26497735898830976
Linear SVM,11,6541,1816,0.5299214534172095,0.27763338939000154,0.5212022026866129,0.5390587204214984,0.2669133397856566,0.2886144823086168
Linear SVM,12,6540,1976,0.5489837961274546,0.3021406727828746,0.5390591380038473,0.5592456773403183,0.29113049846433836,0.31338315602265276
Linear SVM,13,6541,2247,0.5709691350849291,0.3435254548234215,0.5592467559806147,0.583710227450833,0.3321117139892097,0.3551228861575685
Linear SVM,14,6540,2605,0.6005028710566693,0.3983180428134557,0.583712506589184,0.6200241530576831,0.3865161251156682,0.4102393464715413
Linear SVM,15,6541,3182,0.6519056336849376,0.48646995872190796,0.6200454891503012,0.764361587217372,0.4743686423198872,0.49858715847443613
MLP Neural Network,1,6541,181,0.022079263738687,0.02767160984558936,0.003684618277475237,0.03298786282539367,0.023965170351626822,0.03193253082421218
MLP Neural Network,2,6540,410,0.04337695771742851,0.06269113149847094,0.03299612551927567,0.05366146191954612,0.057068922221411224,0.06882679016869306
MLP Neural Network,3,6541,566,0.06353019657286368,0.08653111145084849,0.0536624938249588,0.0731040686368942,0.0799580322578093,0.09358957506701883
MLP Neural Network,4,6540,742,0.08201089019143801,0.11345565749235474,0.07310413569211958,0.0907464250922203,0.1059949540459342,0.12137020711566848
MLP Neural Network,5,6540,878,0.09952825031240417,0.13425076452599388,0.09074786305427553,0.10827082395553589,0.12620242183253302,0.1427285376210087
MLP Neural Network,6,6541,957,0.11713992904639904,0.14630790399021557,0.10827128589153287,0.1259777843952179,0.13795068123646226,0.15508033726824838
MLP Neural Network,7,6540,1152,0.13522852336366972,0.1761467889908257,0.12597964704036713,0.14439539611339566,0.16710494539688026,0.18556887238012704
MLP Neural Network,8,6541,1350,0.15386926594986644,0.20639046017428528,0.14439590275287628,0.1636589169502258,0.19675612309788618,0.21636947493033806
MLP Neural Network,9,6540,1444,0.17443313435494717,0.22079510703363914,0.16365918517112732,0.18548209965229037,0.21090781404315856,0.23101021771360025
MLP Neural Network,10,6540,1617,0.19679141843446532,0.24724770642201835,0.1854834854602814,0.20859889686107633,0.23694225177819794,0.25784992045286576
MLP Neural Network,11,6541,1819,0.2221837874659703,0.27809203485705547,0.2085999995470047,0.23675706982612613,0.267366209313302,0.28907836529641806
MLP Neural Network,12,6540,2030,0.25411253738293954,0.3103975535168196,0.236764669418335,0.27333426475524897,0.2992984988500275,0.3217192226058218
MLP Neural Network,13,6541,2266,0.2977444088900058,0.3464302094480966,0.27335032820701594,0.3252292275428772,0.33499182750627815,0.3580488719049956
MLP Neural Network,14,6540,2625,0.36360542235115617,0.4013761467889908,0.32523056864738464,0.4085959196090699,0.3895572940394493,0.41331079494363354
MLP Neural Network,15,6541,3315,0.48562304389675426,0.5068032410946338,0.4086047112941742,0.7214983105659484,0.49468667716008213,0.51891181848571
