model,bin,observations,defaults,mean_predicted_probability,observed_default_rate,minimum_predicted_probability,maximum_predicted_probability,observed_rate_ci_lower,observed_rate_ci_upper
LightGBM,15,6667,3445,0.7954050516807024,0.5167241637918104,0.7468482495084449,0.9255480376199106,0.5047224994614972,0.5287065659205981
CatBoost,1,6667,175,0.12557326050560283,0.02624868756562172,0.041103682974128336,0.16335861005200353,0.022675248963110118,0.030367773374581127
CatBoost,2,6667,379,0.19416230238065849,0.056847157642117896,0.16336040186275522,0.22390102536354475,0.05153987679499051,0.06266484364088373
CatBoost,3,6666,525,0.2525536486936333,0.07875787578757876,0.22391657014284297,0.2803930216922284,0.07253148618378488,0.08546950742301981
CatBoost,4,6667,647,0.3045609329848441,0.09704514774261287,0.2803955172691996,0.32792014267021613,0.09016969435767903,0.10438470789345523
CatBoost,5,6666,779,0.34792922958491956,0.11686168616861686,0.3279249146003187,0.3675237999791119,0.10936930318112971,0.12479541821195404
CatBoost,6,6667,935,0.3873191552994304,0.14024298785060746,0.36753767635234663,0.406699628701877,0.13211472724341763,0.14878560173456315
CatBoost,7,6667,958,0.42509210668321856,0.14369281535923203,0.4067033299223562,0.4433761210319934,0.13547771503036868,0.1523182955959367
CatBoost,8,6666,1114,0.4609206197841283,0.16711671167116712,0.44337723104172166,0.4788259657781725,0.15835273408313083,0.1762641479729588
CatBoost,9,6667,1335,0.49599680747831487,0.20023998800059997,0.4788299416641156,0.5134019499456524,0.19080775094455643,0.21001747626515577
CatBoost,10,6666,1470,0.5310290691547699,0.22052205220522053,0.5134101456921883,0.5488109386794676,0.2107316475458694,0.23063439628941448
CatBoost,11,6667,1625,0.5674686450298358,0.24373781310934453,0.5488130782499325,0.5864224936632384,0.2335813393421719,0.25418943908554553
CatBoost,12,6667,1912,0.6062131630318177,0.28678566071696415,0.5864377738164529,0.6269511189911989,0.27605463437006406,0.2977622585389206
CatBoost,13,6666,2218,0.6500505123826591,0.3327332733273327,0.6269521264308336,0.6744536501778542,0.3215209330381241,0.3441382934118713
CatBoost,14,6667,2538,0.7044300023466611,0.3806809659517024,0.6744626546091161,0.7372592542811698,0.369097394179069,0.3924019644625753
CatBoost,15,6667,3371,0.7862250310939707,0.5056247187640618,0.7372598490525426,0.9097005045838057,0.49362349512977605,0.5176194640794486
Explainable Boosting Machine,1,6667,182,0.0304175906004645,0.027298635068246587,0.005788963527727639,0.043550842983591194,0.023650947208401663,0.03149076084834488
Explainable Boosting Machine,2,6667,366,0.05438065476790802,0.05489725513724314,0.04355449438074346,0.06474513807641948,0.04968143603441614,0.06062572520892683
Explainable Boosting Machine,3,6666,531,0.07454486430161801,0.07965796579657966,0.06475391262377186,0.08412294606721589,0.0733974426152577,0.08640269416760084
Explainable Boosting Machine,4,6667,601,0.09356349796188951,0.09014549272536374,0.08412300557008591,0.10289732116986643,0.08350482544159862,0.09725821351288655
Explainable Boosting Machine,5,6666,756,0.11226262588422599,0.11341134113411341,0.10289781817405146,0.1218552779101207,0.106020693941533,0.12124731194334439
Explainable Boosting Machine,6,6667,898,0.13153649146586552,0.13469326533673318,0.12185693694118609,0.14149036994065975,0.12670829987520177,0.14309897601634392
Explainable Boosting Machine,7,6667,989,0.15166604884340043,0.14834258287085647,0.14149037081810792,0.1618155534509169,0.1400130427758772,0.15707714746338738
Explainable Boosting Machine,8,6666,1243,0.1728802878503168,0.18646864686468648,0.16181561404979541,0.18394412689757897,0.17730013889982119,0.1959983214414259
Explainable Boosting Machine,9,6667,1261,0.19549984920672062,0.18914054297285135,0.1839460023961092,0.20754897500545824,0.17991995464398552,0.19871916639285636
Explainable Boosting Machine,10,6666,1460,0.2209443545454262,0.21902190219021903,0.20755335472861539,0.2349864955453951,0.20925670832679716,0.229110763548397
